Time (s),Voltage (V)
12.56,0.004
12.6,0.0
12.64,0.0
12.68,0.0
12.72,-0.002
12.76,-0.002
12.8,-0.004
12.84,-0.006
12.88,-0.004
12.92,0.002
12.96,0.0
13.0,-0.004
13.040000000000001,0.0
13.08,0.002
13.120000000000001,0.0
13.16,0.002
13.200000000000001,0.004
13.24,0.0
13.280000000000001,-0.004
13.32,0.0
13.36,0.0
13.4,-0.004
13.44,-0.002
13.48,0.004
13.52,0.0
13.56,-0.004
13.6,0.004
13.64,0.0
13.68,-0.002
13.72,0.002
13.76,0.004
13.8,0.002
13.84,0.002
13.88,0.004
13.92,0.004
13.96,0.0
14.0,0.0
14.040000000000001,0.0
14.08,-0.004
14.120000000000001,-0.002
14.16,0.0
14.200000000000001,-0.004
14.24,-0.006
14.280000000000001,0.0
14.32,0.0
14.36,0.0
14.4,0.0
14.44,0.002
14.48,0.0
14.52,0.0
14.56,0.002
14.6,0.0
14.64,-0.004
14.68,-0.004
14.72,0.0
14.76,-0.002
14.8,-0.002
14.84,0.0
14.88,0.0
14.92,-0.004
14.96,-0.004
15.0,0.0
15.040000000000001,-0.004
15.08,0.004
15.120000000000001,0.004
15.16,0.006
15.200000000000001,0.002
15.24,0.002
15.280000000000001,0.0
15.32,0.0
15.36,0.0
15.4,0.0
15.44,0.0
15.48,-0.004
15.52,-0.002
15.56,0.0
15.6,-0.002
15.64,-0.004
15.68,0.0
15.72,0.0
15.76,0.004
15.8,0.006
15.84,0.002
15.88,-0.002
15.92,0.0
15.96,0.0
16.0,0.0
16.04,0.002
16.080000000000002,0.0
16.12,0.002
16.16,-0.004
16.2,-0.002
16.240000000000002,-0.006
16.28,-0.002
16.32,-0.002
16.36,0.0
16.4,0.004
16.44,0.002
16.48,0.002
16.52,0.002
16.56,0.0
16.6,0.002
16.64,0.002
16.68,0.0
16.72,0.0
16.76,0.0
16.8,0.0
16.84,-0.006
16.88,-0.008
16.92,-0.004
16.96,0.0
17.0,0.002
17.04,0.002
17.080000000000002,0.0
17.12,-0.002
17.16,0.0
17.2,0.002
17.240000000000002,0.0
17.28,0.0
17.32,0.002
17.36,0.004
17.400000000000002,0.0
17.44,0.0
17.48,0.0
17.52,-0.004
17.56,-0.004
17.6,-0.002
17.64,0.0
17.68,0.0
17.72,0.004
17.76,0.004
17.8,0.002
17.84,0.004
17.88,0.004
17.92,0.0
17.96,0.0
18.0,0.004
18.04,0.004
18.080000000000002,-0.004
18.12,-0.004
18.16,-0.004
18.2,-0.002
18.240000000000002,-0.002
18.28,0.0
18.32,-0.004
18.36,-0.002
18.400000000000002,0.002
18.44,0.0
18.48,-0.006
18.52,0.0
18.56,0.002
18.6,0.0
